ID,Distance,Variety
844,0.612631579,RUDAWA
845,0.663508772,RUDAWA
846,0.680701754,RUDAWA
847,0.581578947,RUDAWA
848,0.647192982,RUDAWA
849,0.56754386,RUDAWA
850,0.658596491,RUDAWA
851,0.599473684,RUDAWA
852,0.629649123,RUDAWA
853,0.429473684,RUDAWA
854,0.367368421,RUDAWA
855,0.480877193,RUDAWA
856,0.495789474,RUDAWA
857,0.444736842,RUDAWA
858,0.39754386,RUDAWA
859,0.420701754,RUDAWA
860,0.472280702,RUDAWA
861,0.51,RUDAWA
862,0.492631579,RUDAWA
863,0.44754386,RUDAWA
864,0.488421053,RUDAWA
865,0.514385965,RUDAWA
866,0.530877193,RUDAWA
867,0.44245614,RUDAWA
868,0.491578947,RUDAWA
869,0.453859649,RUDAWA
870,0.521578947,RUDAWA
871,0.575964912,RUDAWA
872,0.563684211,RUDAWA
873,0.484210526,RUDAWA
874,0.473157895,RUDAWA
875,0.534035088,RUDAWA
876,0.457017544,RUDAWA
877,0.409824561,RUDAWA
878,0.457368421,RUDAWA
879,0.476140351,RUDAWA
880,0.521929825,RUDAWA
881,0.481754386,RUDAWA
882,0.469824561,RUDAWA
883,0.452982456,RUDAWA
884,0.446842105,RUDAWA
885,0.429298246,RUDAWA
886,0.496315789,RUDAWA
887,0.453333333,RUDAWA
888,0.553333333,RUDAWA
889,0.498947368,RUDAWA
890,0.478421053,RUDAWA
891,0.485263158,RUDAWA
892,0.491578947,RUDAWA
893,0.514912281,RUDAWA
894,0.541754386,RUDAWA
895,0.508421053,RUDAWA
896,0.516140351,RUDAWA
897,0.475263158,RUDAWA
898,0.465964912,RUDAWA
899,0.437368421,RUDAWA
900,0.544035088,RUDAWA
901,0.579473684,RUDAWA
902,0.56,RUDAWA
903,0.480877193,RUDAWA
904,0.444210526,RUDAWA
905,0.428421053,RUDAWA
906,0.508596491,RUDAWA
907,0.460175439,RUDAWA
908,0.468947368,RUDAWA
909,0.498947368,RUDAWA
910,0.521929825,RUDAWA
911,0.515263158,RUDAWA
912,0.506491228,RUDAWA
913,0.606666667,RUDAWA
914,0.511052632,RUDAWA
915,0.517017544,RUDAWA
916,0.500877193,RUDAWA
917,0.484210526,RUDAWA
918,0.487894737,RUDAWA
919,0.425614035,SALTO
920,0.618245614,SALTO
921,0.450877193,SALTO
922,0.487894737,SALTO
923,0.424561404,SALTO
924,0.513157895,SALTO
925,0.450175439,SALTO
926,0.457368421,SALTO
927,0.498245614,SALTO
928,0.526140351,SALTO
929,0.501052632,SALTO
930,0.443157895,SALTO
931,0.497894737,SALTO
932,0.462807018,SALTO
933,0.515614035,SALTO
934,0.5,SALTO
935,0.617017544,SALTO
936,0.667192982,SALTO
937,0.439298246,SALTO
938,0.445263158,SALTO
939,0.408070175,SALTO
940,0.50122807,SALTO
941,0.450175439,SALTO
942,0.464912281,SALTO
943,0.458245614,SALTO
944,0.462982456,SALTO
945,0.456315789,SALTO
946,0.444210526,SALTO
947,0.508421053,SALTO
948,0.442105263,SALTO
949,0.493684211,SALTO
950,0.501754386,SALTO
951,0.558245614,SALTO
952,0.615614035,SALTO
953,0.636491228,SALTO
954,0.641052632,SALTO
955,0.680526316,SALTO
956,0.644385965,SALTO
957,0.682105263,SALTO
